"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",46838.5157966986,46682.7259736601,-155.789823038504,FALSE
"2","Employee 2",44662.8649439663,44831.8300646497,168.965120683424,TRUE
"3","Employee 3",44095.4333264381,42215.7412243541,-1879.69210208394,FALSE
"4","Employee 4",48357.3534875177,47628.8345176727,-728.518969845027,FALSE
"5","Employee 5",44476.043919567,45191.349562956,715.305643389001,TRUE
"6","Employee 6",49614.3342345022,50193.7701797578,579.435945255682,TRUE
"7","Employee 7",41885.0541766733,56314.2539560795,14429.1997794062,TRUE
"8","Employee 8",45142.4352708273,55347.9262162,10205.4909453727,TRUE
"9","Employee 9",47110.5554397218,61180.111769354,14069.5563296322,TRUE
"10","Employee 10",43020.9354590625,56931.8244530587,13910.8889939962,TRUE
"11","Employee 11",47933.2239064388,53793.7342503574,5860.51034391858,TRUE
"12","Employee 12",44062.3903810047,51798.9571404178,7736.56675941311,TRUE
"13","Employee 13",44830.112750642,49064.0232310398,4233.91048039775,TRUE
"14","Employee 14",48576.6742075793,59620.8675304661,11044.1933228867,TRUE
"15","Employee 15",46036.4300850779,57345.7975650672,11309.3674799893,TRUE
"16","Employee 16",48496.5982637368,53424.6672980953,4928.06903435849,TRUE
"17","Employee 17",47432.8875355422,57297.8653374594,9864.97780191712,TRUE
"18","Employee 18",45413.5980410501,48765.0774099166,3351.47936886642,TRUE
"19","Employee 19",43257.9677016474,46463.9747497858,3206.00704813842,TRUE
"20","Employee 20",49993.7557266094,58687.3479012866,8693.59217467718,TRUE
"21","Employee 21",44342.6560307853,50178.1773578841,5835.52132709883,TRUE
"22","Employee 22",48809.6946058795,53273.3985903906,4463.70398451108,TRUE
"23","Employee 23",46397.8350535035,46732.7424109681,334.907357464544,TRUE
"24","Employee 24",44332.6314608566,51927.8415152803,7595.21005442366,TRUE
"25","Employee 25",48570.7038757391,62462.5186738558,13891.8147981167,TRUE
"26","Employee 26",49393.8872497529,48135.2276733378,-1258.65957641508,FALSE
"27","Employee 27",40807.7131700702,47299.5800100034,6491.86683993321,TRUE
"28","Employee 28",46307.7676575631,60019.6427648189,13711.8751072558,TRUE
"29","Employee 29",47296.9558485784,56052.4771647761,8755.5213161977,TRUE
"30","Employee 30",47760.542689357,61163.4199565742,13402.8772672173,TRUE
"31","Employee 31",49626.1556516401,64605.2804618375,14979.1248101974,TRUE
"32","Employee 32",47063.0878256634,61022.7703896817,13959.6825640183,TRUE
"33","Employee 33",45290.282831993,51705.0099198241,6414.72708783112,TRUE
"34","Employee 34",48173.6566638574,53844.8038353818,5671.14717152435,TRUE
"35","Employee 35",45472.7920354344,49666.4451848483,4193.65314941388,TRUE
"36","Employee 36",41220.7935401239,52325.4137270851,11104.6201869613,TRUE
"37","Employee 37",42597.9870045558,47493.2626797818,4895.275675226,TRUE
"38","Employee 38",49615.9528824501,48307.4777404545,-1308.47514199559,FALSE
"39","Employee 39",42316.2450268865,47698.7469400046,5382.50191311818,TRUE
"40","Employee 40",40809.1955678537,40779.8028795514,-29.3926883023232,FALSE
"41","Employee 41",42774.2886799388,44124.0513499361,1349.76266999729,TRUE
"42","Employee 42",41275.1555093564,53868.8201160403,12593.6646066839,TRUE
"43","Employee 43",49305.8241298422,55805.0971810007,6499.27305115853,TRUE
"44","Employee 44",42586.9841920212,56245.3036353691,13658.3194433479,TRUE
"45","Employee 45",45592.8558460437,50542.7818011958,4949.92595515214,TRUE
"46","Employee 46",42735.4451059364,45623.783574556,2888.33846861962,TRUE
"47","Employee 47",48038.0663089454,54576.6418561107,6538.57554716524,TRUE
"48","Employee 48",40624.7357279062,43799.1173216142,3174.38159370795,TRUE
"49","Employee 49",49911.1690698192,48195.2206254937,-1715.94844432548,FALSE
"50","Employee 50",46641.9613175094,45207.2849363321,-1434.67638117727,FALSE
"51","Employee 51",49431.1983534135,55916.2897284841,6485.09137507062,TRUE
"52","Employee 52",46832.5533415191,53102.664083126,6270.11074160691,TRUE
"53","Employee 53",41490.3115364723,40182.8094752273,-1307.50206124503,FALSE
"54","Employee 54",48544.4781463593,49414.366321289,869.888174929656,TRUE
"55","Employee 55",44014.6424225532,47046.1808593245,3031.53843677137,TRUE
"56","Employee 56",45850.5044365302,52461.3663722994,6610.86193576921,TRUE
"57","Employee 57",45814.3874560483,53108.0373411532,7293.64988510497,TRUE
"58","Employee 58",49938.7909285724,53651.1029943358,3712.3120657634,TRUE
"59","Employee 59",47429.9056385644,61535.2535055717,14105.3478670074,TRUE
"60","Employee 60",43258.8875060901,46396.1622247007,3137.27471861057,TRUE
"61","Employee 61",46658.5570108145,56497.7650699439,9839.20805912931,TRUE
"62","Employee 62",48692.1334383078,47378.0859279213,-1314.04751038644,FALSE
"63","Employee 63",49357.0831185207,64065.2977779973,14708.2146594767,TRUE
"64","Employee 64",45295.1536816545,43981.7247388419,-1313.42894281261,FALSE
"65","Employee 65",48043.4995889664,47264.197000768,-779.302588198334,FALSE
"66","Employee 66",41087.6495973207,43960.2577360347,2872.60813871399,TRUE
"67","Employee 67",48066.2671476603,58778.286423767,10712.0192761067,TRUE
"68","Employee 68",45273.8084737211,45831.3139731763,557.505499455146,TRUE
"69","Employee 69",45105.8473018929,47694.5427397732,2588.69543788023,TRUE
"70","Employee 70",42192.9739415646,47370.5492168665,5177.57527530193,TRUE
"71","Employee 71",48906.3547109254,53061.8466623127,4155.49195138738,TRUE
"72","Employee 72",41402.5547658093,40128.8109261077,-1273.74383970164,FALSE
"73","Employee 73",47354.6833358705,54179.551153793,6824.8678179225,TRUE
"74","Employee 74",44800.8846305311,53032.3426006362,8231.45797010511,TRUE
"75","Employee 75",44966.0204909742,56845.2085304307,11879.1880394565,TRUE
"76","Employee 76",43594.6117760614,52347.778287367,8753.16651130561,TRUE
"77","Employee 77",45725.7525459863,46999.6503985021,1273.8978525158,TRUE
"78","Employee 78",45677.1673378535,53104.0816707537,7426.9143329002,TRUE
"79","Employee 79",47806.8223735318,60650.4421087448,12843.619735213,TRUE
"80","Employee 80",42141.402172856,45380.9736290714,3239.57145621534,TRUE
"81","Employee 81",47526.8898275681,57666.6811126051,10139.7912850371,TRUE
"82","Employee 82",43483.0290288664,48467.3029824626,4984.27395359613,TRUE
"83","Employee 83",46349.2509024218,44546.6983446386,-1802.5525577832,FALSE
"84","Employee 84",41745.8018148318,48926.9530854654,7181.15127063356,TRUE
"85","Employee 85",48856.4382004552,58252.5117398473,9396.07353939209,TRUE
"86","Employee 86",43911.6922020912,53356.8459673552,9445.15376526397,TRUE
"87","Employee 87",45078.5664608702,58371.5636754641,13292.9972145939,TRUE
"88","Employee 88",40124.8880266212,37849.6044670464,-2275.28355957475,FALSE
"89","Employee 89",49021.1461856961,59120.2299034921,10099.083717796,TRUE
"90","Employee 90",42416.3561826572,47919.6594987297,5503.30331607256,TRUE
"91","Employee 91",44207.6541949064,53504.3957352173,9296.7415403109,TRUE
"92","Employee 92",43372.2229697742,41507.1884455392,-1865.03452423494,FALSE
"93","Employee 93",47846.1449663155,57913.2884839782,10067.1435176628,TRUE
"94","Employee 94",41153.122112155,52894.4823006168,11741.3601884618,TRUE
"95","Employee 95",44953.2479909249,51945.8805816248,6992.63259069994,TRUE
"96","Employee 96",46964.1901063733,46871.7827630462,-92.4073433270678,FALSE
"97","Employee 97",49996.0938096046,50556.1924091307,560.0985995261,TRUE
"98","Employee 98",40111.941085197,41581.9674212253,1470.02633602824,TRUE
"99","Employee 99",44955.1467294805,58616.4154607104,13661.2687312299,TRUE
"100","Employee 100",45760.9048322774,52916.0342481919,7155.12941591442,TRUE
